No,start,end
1162,078045,078092
1163,078093,080408
1164,080409,082480
1165,082481,083516
1171,083559,084064
1172,084065,084298
1173,084299,084406
1174,084407,084686
1175,084687,084760
1176,084761,085152
1177,085153,085258
1178,085259,085510
1181,085559,085600
1183,085613,085828
1184,086001,086030
1185,086031,086062
1186,086063,086118
1187,086119,086352
1188,086353,086464
1189,086465,086484
1190,086485,086652
1191,086653,087102
1192,087103,087192
1196,087241,087360
1203,087427,087487
1211,087527,087554
1212,087555,087590
1213,087591,087668
1224,087779,087808
1226,088005,088032
1227,088033,088060
1228,088061,088142
1229,088143,088194
1230,088195,088288
1231,088289,088320
1236,088379,088412
1237,088413,088454
1238,088455,088496
1240,088505,088536
1241,088537,088592
1242,088593,088632
1243,088633,088682
1254,089001,089074
1256,089097,092538
1257,092539,094328
1258,094329,096150
1259,096151,096744
1260,097001,097450
1261,097451,098312
1262,098313,099152
1263,099153,099182
1264,099183,099226
1265,099227,099258
1266,099259,099694
1267,100001,100374
1268,100375,100706
1269,101001,101258
1270,101259,101492
1271,101493,101536
1272,101537,102120
1273,102121,102154
1274,102155,102400
1275,102401,102436
1276,102437,102458
1280,102485,102770
1281,103001,103072
1282,103073,103328
1283,103329,103394
1284,103395,103422
1285,103423,103618
1286,103619,104048
1287,104049,104156
1289,104169,104348
1290,104349,104504
1291,104505,104710
1292,105001,105070
1293,105071,105124
1294,105125,105154
1295,105155,105170
1299,105189,105204
1303,105215,105252
1304,105253,105332
1305,105333,105494
1306,105495,105504
1309,105521,105588
1310,105589,105634
1313,105651,105686
1314,106001,106484
1315,106485,106750
1316,107001,107132
1317,107133,107276
1318,107277,107414
1322,107453,107594
1333,107637,107716
1334,107717,107774
1335,108001,108036
1336,108037,108148
1343,108199,108246
1344,108247,108354
1345,108355,108442
1346,108443,108536
1347,108537,108578
1348,108579,108612
1349,108613,108650
1350,108651,108704
1351,108705,108754
1352,109001,109038
1357,109061,109104
1358,109105,109144
1359,109145,109178
1361,109207,109232
1363,109257,109270
1373,109329,109410
1374,109411,109458
1378,109535,109552
1400,110001,110032
1401,110033,110050
1418,110193,110228
1432,110397,110446
1451,110565,110588
1452,110589,110682
1461,111001,111194
1464,111247,111480
1465,111481,112474
1466,112475,112620
1467,112621,112664
1468,112665,113164
1469,113165,114144
1470,114145,114714
1471,114715,114816
1472,115001,115280
1473,115281,116240
1474,116241,116412
1476,116429,116500
1477,116501,116522
1478,116523,116562
1481,116603,116648
1482,116649,116722
1483,116723,116784
1484,117001,117044
1485,117045,117092
1486,117093,117180
1487,117181,117254
1489,117287,117476
1490,117477,118688
1491,118689,119292
1492,119293,120142
1493,120143,120536
1494,120537,120636
1499,120721,120814
1500,121001,121034
1501,121035,121138
1503,121165,121280
1504,121281,121498
1505,121499,121598
1506,121599,121708
1507,121709,122126
1508,122127,122178
1511,122235,122360
1512,122361,122462
1513,122463,122582
1514,122583,123360
1515,123361,123404
1516,123405,123486
1517,123487,123664
1518,123665,123752
1519,124001,124042
1522,124075,124108
1524,124125,124170
1525,124171,124266
1528,124297,124632
1529,124633,124722
1530,124723,125168
1531,125169,125334
1532,125335,127854
1533,128001,128560
1534,128561,128616
1535,128617,128644
1536,128645,128680
1537,128681,128766
1538,129001,129670
1539,129671,129772
1540,129773,129808
1544,130001,130030
1545,130031,131102
1551,131171,131226
1553,131239,131286
1555,131315,131826
1556,132001,132864
1557,133001,137196
1558,137197,137388
1559,137389,137528
1560,137529,137634
1561,137635,137744
1562,137745,138322
1563,138323,138594
1565,138619,138678
1566,138679,138700
1567,138701,138724
1568,138725,138784
1569,139001,139172
1570,139173,139210
1584,139367,140282
1585,140283,140414
1586,140415,140488
1587,140489,141144
1588,141145,141322
1589,141323,141354
1590,141355,141458
1593,141463,141566
1594,141567,141594
1595,141595,143558
1596,143559,143812
1597,144001,144292
1598,144293,144342
1599,144343,144718
1600,144719,144798
1601,145001,145322
1602,145323,146766
1603,146767,146800
1604,146801,146834
1605,147001,147016
1606,147017,147162
1607,147163,147308
1608,147309,147524
1609,147525,147868
1610,148001,148354
1611,148355,148454
1612,148455,148778
1613,148779,149720
1614,149721,149868
1615,150001,150092
1616,150093,150292
1617,150293,150462
1618,150463,150468
1620,150493,150518
1621,150519,151704
1622,151705,152154
1624,152167,152368
1625,152369,152542
1627,152557,152580
1628,152581,152612
1629,152613,152638
1630,152639,152748
1631,152749,153850
1632,154001,154240
1633,154241,155196
1634,155197,156564
1635,156565,156594
1636,156595,156692
1637,156693,157162
1638,157163,157364
1639,157365,157690
1640,157691,158134
1641,158135,158312
1642,158313,158384
1643,158385,158694
1644,158695,159214
1645,159215,159666
1646,159667,160380
1647,160381,161080
1648,161081,161216
1649,161217,161304
1650,161305,161424
1651,161425,161446
1652,161447,161774
1653,162001,1621085
1654,163001,163114
1655,163115,163172
1656,163173,163208
1657,163209,163258
1658,163259,163328
1659,163329,163398
1660,163399,163462
1661,163463,163644
1662,163645,163666
1663,164001,164868
1664,165001,165792
1665,166001,166174
1666,166175,166646
1667,167001,167878
1668,168001,168328
1669,168329,168746
